model,accuracy,precision,recall,f1,roc_auc,evaluated_on
DT,0.7122969837587007,0.0743801652892562,0.42857142857142855,0.1267605633802817,0.6126016260162602,D1
DT,0.7164556962025317,0.09649122807017543,0.55,0.16417910447761194,0.6588,D2
SVM,0.728538283062645,0.04716981132075472,0.23809523809523808,0.07874015748031496,0.47921022067363533,D1
SVM,0.7721518987341772,0.13541666666666666,0.65,0.22413793103448276,0.8213333333333334,D2
MLP,0.9396751740139211,0.2222222222222222,0.09523809523809523,0.13333333333333333,0.6026713124274099,D1
MLP,0.979746835443038,0.875,0.7,0.7777777777777778,0.9047999999999999,D2
