model,accuracy,precision,recall,f1,roc_auc,evaluated_on
MLP_D1,0.979746835443038,0.875,0.7,0.7777777777777778,0.9047999999999999,D2
MLP_CL,0.9493670886075949,0.5,0.15,0.23076923076923078,0.8892,D2
